molecular weight,molecular formula,strength
334.14164,C18H22O6,65770040.0
336.030376,C15H12O7S1,4237078.0
336.048135,C15H12O9,123543784.0
336.08452,C16H16O8,175046832.0
336.120905,C17H20O7,171812176.0
336.15729,C18H24O6,64919924.0
337.334464,C22H43O1N1,5362334.000000001
338.0274,C14H10O10,45908864.0
338.0637850000001,C15H14O9,166627280.0
338.10017,C16H18O8,282189824.0
338.10017,C16H18O8,282189824.0
338.10017,C16H18O8,282189824.0
338.136555,C17H22O7,203061600.0
338.17294,C18H26O6,34163456.0
339.037904,C17H9O7N1,4184253.0
338.10017,C16H18O8,45683264.0
338.10017,C16H18O8,45683264.0
340.04305,C14H12O10,75472856.0
340.058305,C18H12O7,29325850.0
340.079435,C15H16O9,255263040.0
340.079435,C15H16O9,255263040.0
340.11582,C16H20O8,375881760.0
340.11582,C16H20O8,375881760.0
340.11582,C16H20O8,375881760.0
340.152205,C17H24O7,106093128.0
340.207216,C19H32O3S1,23098664.0
340.079435,C15H16O9,40571644.0
340.11582,C16H20O8,58099924.0
340.11582,C16H20O8,58099924.0
342.03757,C17H10O8,36623724.0
342.0587,C14H14O10,105981528.0
342.073955,C18H14O7,40392708.0
342.095085,C15H18O9,353159648.0
342.095085,C15H18O9,353159648.0
342.11034,C19H18O6,22391762.0
342.13147,C16H22O8,218400608.0
342.167855,C17H26O7,25747636.0
342.095085,C15H18O9,50804444.0
344.016835,C16H8O9,26821914.0
344.05322,C17H12O8,62767428.0
344.068475,C21H12O5,3711630.0
344.07435,C14H16O10,123414232.0
344.089605,C18H16O7,52242684.0
344.110735,C15H20O9,215092720.0
344.110735,C15H20O9,215092720.0
344.12599,C19H20O6,30889350.0
344.14712,C16H24O8,52816556.0
344.110735,C15H20O9,32634416.0
346.032485,C16H10O9,58614960.0
346.06887,C17H14O8,96561224.0
346.09,C14H18O10,70858064.0
346.105255,C18H18O7,70642128.0
346.126385,C15H22O9,50032520.0
346.14164,C19H22O6,41075488.0
348.048135,C16H12O9,110779544.0
348.08452,C17H16O8,127674368.0
348.120905,C18H20O7,105495232.0
348.15729,C19H24O6,51017488.0
350.0274,C15H10O10,53463684.0
350.0637850000001,C16H14O9,159173616.0
350.10017,C17H18O8,185320448.0
350.136555,C18H22O7,151188240.0
350.17294,C19H26O6,39957872.0
352.04305,C15H12O10,101806776.0
352.079435,C16H16O9,220031040.0
352.11582,C17H20O8,289332512.0
352.11582,C17H20O8,289332512.0
352.11582,C17H20O8,289332512.0
352.152205,C18H24O7,138593248.0
352.11582,C17H20O8,50948228.0
352.11582,C17H20O8,50948228.0
354.03757,C18H10O8,24003558.0
354.0587,C15H14O10,143923584.0
354.073955,C19H14O7,26752118.0
354.095085,C16H18O9,337001952.0000001
354.095085,C16H18O9,337001952.0000001
354.13147,C17H22O8,309224192.0
354.13147,C17H22O8,309224192.0
354.13147,C17H22O8,309224192.0
354.167855,C18H26O7,61516920.0
354.095085,C16H18O9,54665472.0
354.13147,C17H22O8,52574820.0
354.13147,C17H22O8,52574820.0
356.05322,C18H12O8,43689904.0
356.07435,C15H16O10,205261456.0
356.089605,C19H16O7,31298522.0
356.110735,C16H20O9,371289824.0
356.110735,C16H20O9,371289824.0
356.110735,C16H20O9,371289824.0
356.14712,C17H24O8,139167008.0
356.110735,C16H20O9,57563864.0
356.110735,C16H20O9,57563864.0
358.032485,C17H10O9,48317064.0
358.053615,C14H14O11,47895212.0
358.06887,C18H14O8,64697716.0
358.09,C15H18O10,198053824.0
358.105255,C19H18O7,42466560.0
358.126385,C16H22O9,170437648.0
358.14164,C20H22O6,21929230.0
358.16277,C17H26O8,28064968.0
360.01175,C16H8O10,23127788.0
360.048135,C17H12O9,86101984.0
360.08452,C18H16O8,88046296.0
360.095753,C17H16O7N2,4244472.0
360.10565,C15H20O10,95338576.0
360.120905,C19H20O7,63346348.0
360.142035,C16H24O9,35713624.0
360.15729,C20H24O6,31126502.0
362.0274,C16H10O10,53137380.0
362.0637850000001,C17H14O9,136568080.0
362.08176,C10H22O8N2S2,3860495.0
362.10017,C18H18O8,120969800.0
