molecular weight,molecular formula,strength
352.11582,C17H20O8,3653646.0
352.11582,C17H20O8,3767300.0
352.11582,C17H20O8,3767300.0
354.03757,C18H10O8,4228558.0
354.0587,C15H14O10,16780884.0
354.073955,C19H14O7,4454785.0
354.095085,C16H18O9,44838424.0
354.13147,C17H22O8,44546100.0
354.167855,C18H26O7,10189122.0
354.095085,C16H18O9,3726043.0
354.095085,C16H18O9,3726043.0
354.13147,C17H22O8,4401795.0
354.13147,C17H22O8,4401795.0
354.13147,C17H22O8,3895570.0
354.13147,C17H22O8,3895570.0
356.05322,C18H12O8,6376974.0
356.07435,C15H16O10,23960050.0
356.089605,C19H16O7,6161101.0
356.110735,C16H20O9,47175536.0
356.12599,C20H20O6,4030679.0
356.14712,C17H24O8,21248610.0
356.110735,C16H20O9,4829937.0
356.110735,C16H20O9,4829937.0
358.032485,C17H10O9,6522115.0
358.06887,C18H14O8,9589226.0
358.09,C15H18O10,22733854.0
358.105255,C19H18O7,8696013.0
358.126385,C16H22O9,24046990.0
358.14164,C20H22O6,5501388.0
358.16277,C17H26O8,5134411.0
360.048135,C17H12O9,11070010.0
360.08452,C18H16O8,14087531.0
360.10565,C15H20O10,11181798.0
360.120905,C19H20O7,12671437.0
360.142035,C16H24O9,5427211.0
360.15729,C20H24O6,7584223.0
362.0274,C16H10O10,5256902.0
362.0637850000001,C17H14O9,18958976.0
362.10017,C18H18O8,20711580.0
362.136555,C19H22O7,18812488.0
362.17294,C20H26O6,6816104.0
364.04305,C16H12O10,13449363.0
364.079435,C17H16O9,26266982.0
364.11582,C18H20O8,31775282.0
364.152205,C19H24O7,22642260.0
364.18859,C20H28O6,4684780.0
366.0587,C16H14O10,21170164.0
366.095085,C17H18O9,37040480.0
366.13147,C18H22O8,43056344.0
366.167855,C19H26O7,16051339.0
366.13147,C18H22O8,3599645.0
366.13147,C18H22O8,3599645.0
368.037965,C15H12O11,5995235.0
368.05322,C19H12O8,4030470.0
368.07435,C16H16O10,27827030.0
368.089605,C20H16O7,4057546.0
368.110735,C17H20O9,53453288.0
368.14712,C18H24O8,36561112.0
368.183505,C19H28O7,5780044.0
368.110735,C17H20O9,4497467.0
368.110735,C17H20O9,4497467.0
368.110735,C17H20O9,4184869.0
368.110735,C17H20O9,4184869.0
370.032485,C18H10O9,4963226.0
370.053615,C15H14O11,10210838.0
370.06887,C19H14O8,5932217.0
370.09,C16H18O10,35276784.0
370.105255,C20H18O7,4883198.000000001
370.126385,C17H22O9,43554600.0
370.16277,C18H26O8,13376449.0
370.126385,C17H22O9,4095812.0
370.126385,C17H22O9,4095812.0
370.126385,C17H22O9,3629995.0
370.126385,C17H22O9,3629995.0
372.048135,C18H12O9,8873157.0
372.069265,C15H16O11,11049700.0
372.08452,C19H16O8,9460534.000000002
372.10565,C16H20O10,31764142.0
372.120905,C20H20O7,7346388.000000001
372.142035,C17H24O9,18650270.0
372.15729,C21H24O6,4081271.0
374.0274,C17H10O10,5314611.0
374.0637850000001,C18H14O9,13448810.0
374.084915,C15H18O11,8205518.0
374.10017,C19H18O8,13441688.0
374.1213,C16H22O10,11944897.0
374.136555,C20H22O7,11228844.0
374.157685,C17H26O9,3758195.0
374.17294,C21H26O6,4693376.0
376.04305,C17H12O10,12167058.0
376.079435,C18H16O9,20869390.0
376.11582,C19H20O8,21541674.0
376.152205,C20H24O7,15632785.0
376.18859,C21H28O6,4423554.0
378.022315,C16H10O11,4306437.0
378.0587,C17H14O10,20565188.0
378.095085,C18H18O9,27170040.0
378.13147,C19H22O8,30818540.0
378.167855,C20H26O7,15848918.0
380.037965,C16H12O11,9228165.0
380.07435,C17H16O10,27460410.0
380.110735,C18H20O9,41688448.0
380.14712,C19H24O8,35012104.0
380.183505,C20H28O7,8770954.0
380.110735,C18H20O9,3598968.0
380.110735,C18H20O9,3598968.0
382.053615,C16H14O11,15032747.0
382.06887,C20H14O8,4088767.0
382.09,C17H18O10,36549600.0
382.126385,C18H22O9,52835620.0
382.16277,C19H26O8,23524710.0
382.126385,C18H22O9,4837385.0
382.126385,C18H22O9,4837385.0
382.126385,C18H22O9,4133066.0
382.126385,C18H22O9,4133066.0
384.048135,C19H12O9,5061521.999999999
384.069265,C16H16O11,18883930.0
384.08452,C20H16O8,5565805.0
384.10565,C17H20O10,44519064.0
384.120905,C21H20O7,4090373.0
384.142035,C18H24O9,36375875.99999999
384.17842,C19H28O8,7845403.0
384.10565,C17H20O10,4097488.0
384.10565,C17H20O10,4097488.0
386.0274,C18H10O10,4632547.0
386.0637850000001,C19H14O9,8969777.0
386.084915,C16H18O11,20879550.0
386.10017,C20H18O8,9046387.0
386.1213,C17H22O10,34251660.0
386.136555,C21H22O7,6699936.0
386.157685,C18H26O9,13148437.0
388.04305,C18H12O10,10261075.0
388.079435,C19H16O9,14145564.0
388.100565,C16H20O11,12933543.0
388.11582,C20H20O8,12777308.0
388.13695,C17H24O10,10880687.0
388.152205,C21H24O7,9279024.0
390.022315,C17H10O11,4619566.0
390.0587,C18H14O10,18188798.0
390.095085,C19H18O9,21267552.0
390.13147,C20H22O8,20670726.0
390.167855,C21H26O7,10288592.0
392.037965,C17H12O11,10933533.0
392.07435,C18H16O10,25377892.0
392.110735,C19H20O9,30035494.0
392.14712,C20H24O8,26196112.0
392.183505,C21H28O7,8865110.0
394.053615,C17H14O11,19442414.0
394.09,C18H18O10,33516480.0
394.126385,C19H22O9,42748244.0
394.16277,C20H26O8,25097262.0
394.126385,C19H22O9,3785592.0
394.126385,C19H22O9,3785592.0
396.03288,C16H12O12,4789687.0
396.048135,C20H12O9,3603082.0
396.069265,C17H16O11,24263210.0
396.08452,C21H16O8,4358229.0
396.10565,C18H20O10,43365936.0
396.142035,C19H24O9,43848524.0
396.17842,C20H28O8,13040185.0
396.10565,C18H20O10,4471106.000000001
396.10565,C18H20O10,4471106.000000001
396.142035,C19H24O9,3881892.0
396.142035,C19H24O9,3881892.0
398.0274,C19H10O10,3851060.0
398.04853,C16H14O12,7840511.0
398.0637850000001,C20H14O9,6201050.0
398.084915,C17H18O11,29359188.0
398.10017,C21H18O8,4825987.0
398.1213,C18H22O10,49718832.0
398.136555,C22H22O7,3594410.0
398.157685,C19H26O9,25083850.0
398.19407,C20H30O8,4467146.0
398.1213,C18H22O10,4023595.0
398.1213,C18H22O10,4023595.0
400.04305,C19H12O10,6896003.0
400.06418,C16H16O12,8079698.0
400.079435,C20H16O9,7682470.0
400.100565,C17H20O11,23017466.0
400.11582,C21H20O8,6590954.0
400.13695,C18H24O10,23384866.0
400.152205,C22H24O7,4749511.0
400.1733350000001,C19H28O9,5358877.0
402.022315,C18H10O11,4305030.0
402.0587,C19H14O10,13689868.0
402.07983,C16H18O12,8533543.0
402.095085,C20H18O9,13692710.0
402.116215,C17H22O11,15964924.0
402.13147,C21H22O8,12075521.0
402.1526,C18H26O10,8147303.0
402.167855,C22H26O7,8117786.0
404.037965,C18H12O11,10929356.0
404.07435,C19H16O10,21125684.0
404.110735,C20H20O9,20242862.0
404.131865,C17H24O11,3841193.0
404.14712,C21H24O8,17404904.0
404.183505,C22H28O7,8178429.0
406.053615,C18H14O11,19744564.0
406.09,C19H18O10,26786002.0
406.126385,C20H22O9,30358556.0
406.16277,C21H26O8,22255620.0
406.199155,C22H30O7,5443016.0
408.03288,C17H12O12,7075749.0
408.069265,C18H16O11,26428600.0
408.10565,C19H20O10,34459912.0
408.142035,C20H24O9,39353140.0
408.17842,C21H28O8,16298208.0
408.142035,C20H24O9,3841819.0
408.142035,C20H24O9,3841819.0
410.04853,C17H14O12,13582521.0
410.0637850000001,C21H14O9,3932059.0
410.084915,C18H18O11,31204522.0
410.1213,C19H22O10,48316792.0
410.157685,C20H26O9,34649968.0
410.19407,C21H30O8,6868816.0
410.1213,C19H22O10,3628479.0
410.1213,C19H22O10,3628479.0
410.157685,C20H26O9,3658411.0
410.157685,C20H26O9,3658411.0
