reasult,count
-325.95463,1.0
-82.906829,1.0
-1.75508,1.0
-53.132333,1.0
-286.718028,1.0
-474.458284,1.0
-126.228875,1.0
-71.860335,1.0
71.047878,2.0
115.394816,1.0
18.101094,4.0
280.472928,1.0
-248.032957,2.0
114.394678,1.0
-511.845023,1.0
-16.953779,4.0
105.383978,1.0
-212.108231,1.0
42.316033,1.0
227.286451,4.0
194.364245,1.0
-311.641374,1.0
-84.993913,1.0
95.276338,2.0
52.368662,2.0
-457.834458,1.0
-66.983348,2.0
190.033352,1.0
-115.95932,1.0
-183.078527,1.0
63.994915,5.0
-100.160718,1.0
148.422806,1.0
-189.921693,1.0
-87.997419,1.0
7.27845,1.0
185.947908,1.0
-153.045965,1.0
43.078584,2.0
-41.099319,2.0
206.530048,1.0
-146.07904,1.0
-80.007589,2.0
44.168384,2.0
-5.993926,1.0
220.2191,4.0
-97.936354,1.0
-14.030038,2.0
234.491949,1.0
-129.827793,1.0
249.095618,1.0
-27.120054,1.0
-55.772387,1.0
-50.002382,1.0
-152.068475,2.0
-49.858226,1.0
64.22848,1.0
94.293189,1.0
-124.106574,2.0
206.028267,1.0
-165.962569,2.0
334.38108,1.0
-284.623082,1.0
40.034671,3.0
-357.719624,1.0
92.032957,1.0
122.251719,1.0
-112.732098,1.0
268.228346,1.0
-21.878566,1.0
-226.573355,1.0
230.260965,29.0
-514.914557,1.0
64.340139,2.0
96.958213,1.0
87.947513,1.0
72.220814,1.0
-21.7265,1.0
-136.792984,1.0
-6.224637,1.0
7.030966,8.0
-73.804082,2.0
222.216124,1.0
-119.119781,1.0
6.17136,1.0
96.884974,2.0
-20.973846,4.0
-19.904659,1.0
60.33334,1.0
-56.962613,2.0
150.383445,1.0
-93.897192,6.0
-7.805401,1.0
158.134051,1.0
-177.115364,2.0
-268.628167,1.0
4.152339,1.0
148.123213,1.0
204.317218,1.0
-234.94613,1.0
27.017425,1.0
78.06808,8.0
210.23475,20.0
-210.57844,1.0
-189.118735,1.0
224.17763,6.0
-73.797556,1.0
114.035066,1.0
179.250066,4.0
-24.901349,1.0
224.163242,1.0
-158.948242,2.0
81.987721,1.0
108.431262,2.0
30.11972,50.0
204.44837,1.0
146.170436,1.0
26.103675,3.0
310.396335,4.0
-468.839209,1.0
343.370181,3.0
30.220146,2.0
-423.959263,1.0
47.004751,1.0
-59.930601,5.0
114.104465,8.0
-145.970536,1.0
-72.951002,2.0
48.230711,3.0
-78.099457,1.0
-165.685408,1.0
338.282095,6.0
236.486469,1.0
53.105845,1.0
-129.93271,1.0
-102.228008,2.0
-262.646125,1.0
-66.929204,1.0
231.277995,1.0
-108.941105,1.0
47.537775,1.0
29.099319,6.0
204.318085,4.0
-92.998347,1.0
315.263607,1.0
-42.134975,1.0
114.194994,7.0
199.488716,1.0
-65.759241,1.0
-426.750985,1.0
370.38108,9.0
89.203116,1.0
82.045236,2.0
291.375266,1.0
218.278724,1.0
-173.900759,1.0
-240.618864,1.0
-16.0313,8.0
74.215334,1.0
116.381336,1.0
-93.021464,4.0
-372.74042,1.0
-8.720487,1.0
-49.878839,1.0
222.262622,1.0
106.350704,1.0
-70.967715,1.0
-77.02992,1.0
-19.238043,1.0
162.16198,10.0
278.530048,1.0
57.896325,1.0
-32.883317,1.0
-33.936081,1.0
-24.05164,1.0
174.407946,1.0
8.237783,1.0
123.096937,1.0
-240.172545,3.0
-123.83412,1.0
50.000395,1.0
-27.043913,1.0
178.484144,1.0
125.094828,3.0
-94.059624,1.0
101.14223,1.0
-217.865437,1.0
67.869658,1.0
-122.62929,1.0
-442.753762,1.0
-99.174198,1.0
-77.806859,1.0
-76.1252,4.0
-144.524964,1.0
-318.270484,1.0
49.328589,1.0
-212.231774,1.0
274.396335,2.0
-63.961901,4.0
384.360345,5.0
17.124471,5.0
307.370181,1.0
-88.055801,1.0
50.963281,1.0
49.100382,1.0
49.480655,1.0
22.310948,1.0
-1.81847,1.0
134.385159,1.0
-0.003371,1.0
116.029586,1.0
-226.014726,1.0
248.27153,13.0
108.148044,4.0
314.085782,1.0
-258.637942,1.0
148.164956,1.0
-323.943687,1.0
94.074879,1.0
44.272181,1.0
-60.071903,2.0
334.396335,2.0
-154.011355,2.0
-106.035339,1.0
60.954373,1.0
168.245315,4.0
-52.173469,1.0
-468.734092,1.0
38.999666,1.0
-42.994581,2.0
130.19328,3.0
156.314714,1.0
304.224975,1.0
-181.005362,2.0
-11.781906,1.0
188.450084,1.0
