mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
761.69,17155468,199.061179,199.061197,0.018,0.089,C9 H11 O5,9,11,0,5,0,12,1.333333333,0.555555556,20,0,0.089,61527170297,0.000278828,360.8341791,-1,0.230769231,4,-0.222222222,0.161076511,199,1.484362861,198,0.055572327,199,0.124481249,199,0.107222445,199
678.74,2035598,199.062422,199.062534,0.112,0.564,C10 H7 N4 O,10,7,4,1,0,8,0.8,0.1,26,4,0.564,61527170297,3.30845E-05,360.8341791,8,0.818181818,9,0.6,0.159741004,199,1.483036241,198,0.054236111,199,0.125818674,199,0.108559754,199
373.61,2239377,199.065943,199.065906,-0.037,-0.186,C7 H11 N4 O S,7,11,4,1,1,12,1.714285714,0.142857143,20,5,0.186,61527170297,3.63966E-05,360.8341791,3,-1,4,0.571428571,0.156372769,199,1.479690422,198,0.050866089,199,0.129191746,199,0.111932533,199
5.45,31331754,199.097563,199.097583,0.019,0.097,C10 H15 O4,10,15,0,4,0,16,1.6,0.4,22,0,0.097,61527170297,0.000509234,360.8341791,-1,0.125,3,-0.8,0.12473114,199,1.44825937,198,0.019207671,199,0.160878817,199,0.143616857,199
-1000,3747272,199.134,199.133968,-0.032,-0.158,C11 H19 O3,11,19,0,3,0,20,1.818181818,0.272727273,24,0,0.158,61527170297,6.09043E-05,360.8341791,-1,0.052631579,2,-1.272727273,0.088386768,199,1.412156872,198,0.017155986,199,0.197275384,199,0.18001027,199
-1000,11253221,199.170346,199.170354,0.007,0.036,C12 H23 O2,12,23,0,2,0,24,2,0.166666667,26,0,0.036,61527170297,0.000182898,360.8341791,-1,0,1,-1.666666667,0.052041397,199,1.376053382,198,0.053520642,199,0.233672952,199,0.216404683,199
612.9,2145441,200.038682,200.038688,0.006,0.029,C8 H10 N O3 S,8,10,1,3,1,11,1.375,0.375,19,2,0.029,61527170297,3.48698E-05,360.8341791,1,0.111111111,4,0,0.184676986,200,1.51446134,198,0.078654723,200,0.102283007,200,0.084939453,200
-1000,3324591,200.056431,200.056446,0.015,0.075,C8 H10 N O5,8,10,1,5,0,11,1.375,0.625,19,1,0.075,61527170297,5.40345E-05,360.8341791,-1,0.111111111,4,0.25,0.166938815,200,1.496841217,199,0.06090714,200,0.120046652,200,0.102701559,200
-1000,2980557,200.092815,200.092832,0.016,0.082,C9 H14 N O4,9,14,1,4,0,15,1.666666667,0.444444444,21,1,0.082,61527170297,4.84429E-05,360.8341791,-1,0,3,-0.444444444,0.130593444,200,1.460737727,199,0.024542484,200,0.15644422,200,0.139095971,200
-1000,14043370,200.129209,200.129217,0.008,0.041,C10 H18 N O3,10,18,1,3,0,19,1.9,0.3,23,1,0.041,61527170297,0.000228247,360.8341791,-1,-0.066666667,2,-1,0.094249072,200,1.424635229,199,0.011821173,200,0.192840787,200,0.175489384,200
