mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,4537886,187.024786,187.024812,0.026,0.137,C30H42O11,7,7,0,6,0,8,1.142857143,0.857142857,16,0,0.137,74423097888,8.80E-05,417.4783194,-2,0.25,4,0.571428571,0.184021576,187,1.427294421,186,0.084896781,187,0.084269719,187,0.068054481,187
25.89,6331435,187.061194,187.061197,0.003,0.016,C25H24N2O14,8,11,0,5,0,12,1.5,0.625,18,0,0.016,74423097888,0.000218242,417.4783194,-2,0.090909091,3,-0.25,0.147677204,187,1.391191923,186,0.048533125,187,0.120666287,187,0.104447894,187
-1000,2988180,188.108168,188.108088,-0.08,-0.425,C30H36O11,12,14,1,1,0,15,1.25,0.083333333,27,1,0.425,74423097888,2.81E-05,417.4783194,5,0.428571429,6,-0.833333333,0.101955172,188,1.352429241,187,0.002256231,188,0.167890108,188,0.151580948,188
-1000,4627652,189.019341,189.019332,-0.009,-0.048,C29H28O12,10,5,0,4,0,6,0.6,0.4,22,0,0.048,74423097888,2.84E-05,417.4783194,4,0.75,8,0.2,0.191728675,189,1.448260363,188,0.091546767,189,0.079423804,189,0.063035639,189
-1000,6565052,189.04045,189.040462,0.012,0.064,C28H24O13,7,9,0,6,0,10,1.428571429,0.857142857,16,0,0.064,74423097888,7.02E-05,417.4783194,-3,0,3,0.285714286,0.170622269,189,1.427294421,188,0.070429162,189,0.100560522,189,0.084170525,189
-1000,9061555,189.055688,189.055718,0.03,0.158,C27H20O14,11,9,0,3,0,10,0.909090909,0.272727273,24,0,0.158,74423097888,8.97E-05,417.4783194,4,0.578947368,7,-0.363636364,0.155383304,189,1.412156872,188,0.055182111,189,0.115821372,189,0.099430052,189
-1000,6307579,189.076826,189.076847,0.021,0.112,C24H22N2O14,8,13,0,5,0,14,1.75,0.625,18,0,0.112,74423097888,4.73E-05,417.4783194,-3,-0.090909091,2,-0.5,0.134277896,189,1.391191923,188,0.034065505,189,0.136957089,189,0.120563938,189
13.02,4677941,191.03497,191.034982,0.012,0.063,C29H32O11,10,7,0,4,0,8,0.8,0.4,22,0,0.063,74423097888,0.000254522,417.4783194,3,0.625,7,0,0.178329368,191,1.448260363,190,0.077079148,191,0.095714607,191,0.079151683,191
160.13,6263084,191.071358,191.071368,0.009,0.049,C28H28O12,11,11,0,3,0,12,1.090909091,0.272727273,24,0,0.049,74423097888,0.000109639,417.4783194,3,0.473684211,6,-0.545454545,0.141983996,191,1.412156872,190,0.040714492,191,0.132112174,191,0.115546096,191
-1000,5349167,192.114403,192.114236,-0.167,-0.869,C28H26O12,10,14,3,1,0,15,1.5,0.1,25,3,0.869,74423097888,2.73E-05,417.4783194,4,0.230769231,5,-0.4,0.100280472,192,1.377385955,191,0.001541762,192,0.175311716,192,0.15865522,192
-1000,7491365,193.014226,193.014247,0.021,0.108,C27H22O13,9,5,0,5,0,6,0.666666667,0.555555556,20,0,0.108,74423097888,0.000120858,417.4783194,2,0.692307692,7,0.444444444,0.201274433,193,1.484362861,192,0.098975185,193,0.075608842,193,0.058874314,193
7.96,11552540,193.05062,193.050632,0.013,0.066,C26H18O14,10,9,0,4,0,10,1,0.4,22,0,0.066,74423097888,0.001115316,417.4783194,2,0.5,6,-0.2,0.16493006,193,1.448260363,192,0.062611528,193,0.112005409,193,0.095267727,193
-1000,4767531,193.08701,193.087018,0.007,0.038,C28H30O11,11,13,0,3,0,14,1.272727273,0.272727273,24,0,0.038,74423097888,5.95E-05,417.4783194,2,0.368421053,5,-0.727272727,0.128584689,193,1.412156872,192,0.026246872,193,0.148402977,193,0.131662139,193
7.55,8809249,195.029882,195.029897,0.015,0.078,C27H26O12,9,7,0,5,0,8,0.888888889,0.555555556,20,0,0.078,74423097888,0.002447664,417.4783194,1,0.538461538,6,0.222222222,0.187875125,195,1.484362861,194,0.084507565,195,0.091899644,195,0.074990357,195
4.75,6408467,195.066272,195.066282,0.011,0.054,C27H24O12,10,11,0,4,0,12,1.2,0.4,22,0,0.054,74423097888,0.001552328,417.4783194,1,0.375,5,-0.4,0.151530753,195,1.448260363,194,0.048143909,195,0.128296212,195,0.11138377,195
31.84,9554185,197.00915,197.009161,0.011,0.056,C26H20O13,8,5,0,6,0,6,0.75,0.75,18,0,0.056,74423097888,0.000439946,417.4783194,0,0.6,6,0.75,0.210821189,197,1.520466351,195,0.106404602,197,0.071792879,197,0.054711988,197
0.68,4070545,197.045535,197.045547,0.012,0.06,C28H32O10,9,9,0,5,0,10,1.111111111,0.555555556,20,0,0.06,74423097888,0.005229899,417.4783194,0,0.384615385,5,0,0.174475818,197,1.484362861,196,0.070039946,197,0.108190447,197,0.091106401,197
18.67,6575239,197.081918,197.081932,0.014,0.073,C27H28O11,10,13,0,4,0,14,1.4,0.4,22,0,0.073,74423097888,0.000237687,417.4783194,0,0.25,4,-0.6,0.138131446,197,1.448260363,196,0.033676289,197,0.144587014,197,0.127499814,197
-1000,10669181,197.165798,197.165937,0.139,0.705,C26H24O12,11,21,2,1,0,22,2,0.090909091,26,2,0.705,74423097888,2.88E-05,417.4783194,1,-0.058823529,2,-1.272727273,0.054220247,197,1.364907598,196,0.050279433,197,0.22861872,197,0.211524237,197
