Source,Target,Type,Id,Label,Weight,colour
C16H20O6N4,C20H28O8N4,Directed,277,,1,1
C18H28O4N4,C22H36O6N4,Directed,278,,1,1
C17H19O8N1,C21H27O10N1,Directed,279,,1,1
C16H23O5N5,C20H31O7N5,Directed,280,,1,1
C16H22O6N4,C20H30O8N4,Directed,281,,1,1
C17H26O5N4,C21H34O7N4,Directed,282,,1,1
C15H20O7N4,C19H28O9N4,Directed,283,,1,1
C16H24O6N4,C20H32O8N4,Directed,284,,1,1
C16H32O7S1,C20H40O9S1,Directed,285,,1,1
C19H19O5N3,C23H27O7N3,Directed,286,,1,1
C15H22O7N4,C19H30O9N4,Directed,287,,1,1
C18H17O6N3,C22H25O8N3,Directed,288,,1,1
C18H20O5N4,C22H28O7N4,Directed,289,,1,1
C18H19O6N3,C22H27O8N3,Directed,290,,1,1
C18H18O7N2,C22H26O9N2,Directed,291,,1,1
C17H18O6N4,C21H26O8N4,Directed,292,,1,1
C18H22O5N4,C22H30O7N4,Directed,293,,1,1
C19H26O4N4,C23H34O6N4,Directed,294,,1,1
C16H17O6N5,C20H25O8N5,Directed,295,,1,1
C18H21O6N3,C22H29O8N3,Directed,296,,1,1
C17H21O5N5,C21H29O7N5,Directed,297,,1,1
C18H25O4N5,C22H33O6N5,Directed,298,,1,1
C17H16O8N2,C21H24O10N2,Directed,299,,1,1
C18H32O6S1,C22H40O8S1,Directed,300,,1,1
C19H28O4N4,C23H36O6N4,Directed,301,,1,1
C18H19O8N1,C22H27O10N1,Directed,302,,1,1
C17H19O7N3,C21H27O9N3,Directed,303,,1,1
C16H19O6N5,C20H27O8N5,Directed,304,,1,1
C16H18O7N4,C20H26O9N4,Directed,305,,1,1
C18H26O5N4,C22H34O7N4,Directed,306,,1,1
C18H21O8N1,C22H29O10N1,Directed,307,,1,1
C17H24O6N4,C21H32O8N4,Directed,308,,1,1
C16H23O6N5,C20H31O8N5,Directed,309,,1,1
C20H22O4N4,C24H30O6N4,Directed,310,,1,1
C17H26O6N4,C21H34O8N4,Directed,311,,1,1
C16H21O6N3S1,C20H29O8N3S1,Directed,312,,1,1
C15H20O8N4,C19H28O10N4,Directed,313,,1,1
C17H28O6N4,C21H36O8N4,Directed,314,,1,1
C19H23O4N5,C23H31O6N5,Directed,315,,1,1
C19H22O5N4,C23H30O7N4,Directed,316,,1,1
C15H21O9N3,C19H29O11N3,Directed,317,,1,1
C19H25O4N5,C23H33O6N5,Directed,318,,1,1
C18H16O8N2,C22H24O10N2,Directed,319,,1,1
C18H20O6N4,C22H28O8N4,Directed,320,,1,1
C19H24O5N4,C23H32O7N4,Directed,321,,1,1
C18H19O7N3,C22H27O9N3,Directed,322,,1,1
C17H19O6N5,C21H27O8N5,Directed,323,,1,1
C18H23O5N5,C22H31O7N5,Directed,324,,1,1
C18H18O8N2,C22H26O10N2,Directed,325,,1,1
C18H22O6N4,C22H30O8N4,Directed,326,,1,1
C19H26O5N4,C23H34O7N4,Directed,327,,1,1
C18H25O5N5,C22H33O7N5,Directed,328,,1,1
C17H16O9N2,C21H24O11N2,Directed,329,,1,1
C17H23O6N5,C21H31O8N5,Directed,330,,1,1
C16H18O8N4,C20H26O10N4,Directed,331,,1,1
C17H22O7N4,C21H30O9N4,Directed,332,,1,1
C16H23O7N5,C20H31O9N5,Directed,333,,1,1
C16H22O8N4,C20H30O10N4,Directed,334,,1,1
C18H30O6N4,C22H38O8N4,Directed,335,,1,1
C19H20O6N4,C23H28O8N4,Directed,336,,1,1
C21H28O4N4,C25H36O6N4,Directed,337,,1,1
C19H23O5N5,C23H31O7N5,Directed,338,,1,1
C20H27O4N5,C24H35O6N5,Directed,339,,1,1
C19H22O6N4,C23H30O8N4,Directed,340,,1,1
C20H26O5N4,C24H34O7N4,Directed,341,,1,1
C19H25O5N5,C23H33O7N5,Directed,342,,1,1
C18H20O7N4,C22H28O9N4,Directed,343,,1,1
C19H24O6N4,C23H32O8N4,Directed,344,,1,1
C20H28O5N4,C24H36O7N4,Directed,345,,1,1
C17H19O7N5,C21H27O9N5,Directed,346,,1,1
C18H18O9N2,C22H26O11N2,Directed,347,,1,1
C18H22O7N4,C22H30O9N4,Directed,348,,1,1
C18H19O7N5,C22H27O9N5,Directed,349,,1,1
C17H26O12N2,C21H34O14N2,Directed,350,,1,1
C33H46O6S2,C37H54O8S2,Directed,351,,1,1
C7H10O5,C12H20O8,Directed,352,,1,2
C10H17O3N1,C15H27O6N1,Directed,353,,1,2
C9H15O4N1,C14H25O7N1,Directed,354,,1,2
C11H17O4N1,C16H27O7N1,Directed,355,,1,2
C8H10O6S1,C13H20O9S1,Directed,356,,1,2
C12H12O5,C17H22O8,Directed,357,,1,2
C11H17O3N3,C16H27O6N3,Directed,358,,1,2
C13H21O3N1,C18H31O6N1,Directed,359,,1,2
C11H12O6,C16H22O9,Directed,360,,1,2
C9H7O7N1,C14H17O10N1,Directed,361,,1,2
C11H15O5N1,C16H25O8N1,Directed,362,,1,2
C12H19O4N1,C17H29O7N1,Directed,363,,1,2
C11H19O3N3,C16H29O6N3,Directed,364,,1,2
C13H23O3N1,C18H33O6N1,Directed,365,,1,2
C10H13O6N1,C15H23O9N1,Directed,366,,1,2
C11H17O5N1,C16H27O8N1,Directed,367,,1,2
C10H12O7,C15H22O10,Directed,368,,1,2
C10H16O5N2,C15H26O8N2,Directed,369,,1,2
C11H19O5N1,C16H29O8N1,Directed,370,,1,2
C9H10O8,C14H20O11,Directed,371,,1,2
C10H14O7,C15H24O10,Directed,372,,1,2
C9H16O4N2S1,C14H26O7N2S1,Directed,373,,1,2
C14H19O3N1,C19H29O6N1,Directed,374,,1,2
C13H19O4N1,C18H29O7N1,Directed,375,,1,2
C14H23O3N1,C19H33O6N1,Directed,376,,1,2
C12H17O5N1,C17H27O8N1,Directed,377,,1,2
C13H21O4N1,C18H31O7N1,Directed,378,,1,2
C12H21O3N3,C17H31O6N3,Directed,379,,1,2
C14H25O3N1,C19H35O6N1,Directed,380,,1,2
C11H12O7,C16H22O10,Directed,381,,1,2
C11H15O6N1,C16H25O9N1,Directed,382,,1,2
C10H15O5N3,C15H25O8N3,Directed,383,,1,2
C12H19O5N1,C17H29O8N1,Directed,384,,1,2
C13H23O4N1,C18H33O7N1,Directed,385,,1,2
C11H14O7,C16H24O10,Directed,386,,1,2
C10H12O8,C15H22O11,Directed,387,,1,2
C9H10O7S1,C14H20O10S1,Directed,388,,1,2
C14H19O4N1,C19H29O7N1,Directed,389,,1,2
C15H23O3N1,C20H33O6N1,Directed,390,,1,2
C13H17O5N1,C18H27O8N1,Directed,391,,1,2
C14H21O4N1,C19H31O7N1,Directed,392,,1,2
C15H25O3N1,C20H35O6N1,Directed,393,,1,2
C12H15O6N1,C17H25O9N1,Directed,394,,1,2
C13H19O5N1,C18H29O8N1,Directed,395,,1,2
C14H23O4N1,C19H33O7N1,Directed,396,,1,2
C15H27O3N1,C20H37O6N1,Directed,397,,1,2
C11H13O7N1,C16H23O10N1,Directed,398,,1,2
C12H17O6N1,C17H27O9N1,Directed,399,,1,2
C11H17O5N3,C16H27O8N3,Directed,400,,1,2
C13H21O5N1,C18H31O8N1,Directed,401,,1,2
C11H12O8,C16H22O11,Directed,402,,1,2
C13H23O5N1,C18H33O8N1,Directed,403,,1,2
C11H14O8,C16H24O11,Directed,404,,1,2
C15H19O4N1,C20H29O7N1,Directed,405,,1,2
C16H23O3N1,C21H33O6N1,Directed,406,,1,2
C13H13O6N1,C18H23O9N1,Directed,407,,1,2
C15H21O4N1,C20H31O7N1,Directed,408,,1,2
C12H11O7N1,C17H21O10N1,Directed,409,,1,2
C13H15O6N1,C18H25O9N1,Directed,410,,1,2
C15H23O4N1,C20H33O7N1,Directed,411,,1,2
C12H18O4N4,C17H28O7N4,Directed,412,,1,2
C11H9O6N1S1,C16H19O9N1S1,Directed,413,,1,2
C12H13O7N1,C17H23O10N1,Directed,414,,1,2
C13H17O6N1,C18H27O9N1,Directed,415,,1,2
C14H21O5N1,C19H31O8N1,Directed,416,,1,2
C15H25O4N1,C20H35O7N1,Directed,417,,1,2
C12H15O7N1,C17H25O10N1,Directed,418,,1,2
C11H15O6N3,C16H25O9N3,Directed,419,,1,2
C16H15O4N1,C21H25O7N1,Directed,420,,1,2
C12H19O5N3,C17H29O8N3,Directed,421,,1,2
C14H23O5N1,C19H33O8N1,Directed,422,,1,2
C15H13O5N1,C20H23O8N1,Directed,423,,1,2
C13H21O6N1,C18H31O9N1,Directed,424,,1,2
C11H12O9,C16H22O12,Directed,425,,1,2
C15H16O4N2,C20H26O7N2,Directed,426,,1,2
C13H11O5N3,C18H21O8N3,Directed,427,,1,2
C15H19O3N3,C20H29O6N3,Directed,428,,1,2
C13H10O6N2,C18H20O9N2,Directed,429,,1,2
C14H14O5N2,C19H24O8N2,Directed,430,,1,2
C14H13O6N1,C19H23O9N1,Directed,431,,1,2
C14H17O4N3,C19H27O7N3,Directed,432,,1,2
C16H21O4N1,C21H31O7N1,Directed,433,,1,2
C13H12O6N2,C18H22O9N2,Directed,434,,1,2
C14H16O5N2,C19H26O8N2,Directed,435,,1,2
C12H15O4N5,C17H25O7N5,Directed,436,,1,2
C15H19O5N1,C20H29O8N1,Directed,437,,1,2
C9H14O7N2S1,C14H24O10N2S1,Directed,438,,1,2
C13H14O6N2,C18H24O9N2,Directed,439,,1,2
C12H14O5N4,C17H24O8N4,Directed,440,,1,2
C13H18O4N4,C18H28O7N4,Directed,441,,1,2
C14H22O3N4,C19H32O6N4,Directed,442,,1,2
C13H13O7N1,C18H23O10N1,Directed,443,,1,2
C16H13O3N3,C21H23O6N3,Directed,444,,1,2
C14H17O6N1,C19H27O9N1,Directed,445,,1,2
C13H17O5N3,C18H27O8N3,Directed,446,,1,2
C15H21O5N1,C20H31O8N1,Directed,447,,1,2
C14H21O4N3,C19H31O7N3,Directed,448,,1,2
C16H25O4N1,C21H35O7N1,Directed,449,,1,2
C12H16O5N4,C17H26O8N4,Directed,450,,1,2
C13H20O4N4,C18H30O7N4,Directed,451,,1,2
C12H11O8N1,C17H21O11N1,Directed,452,,1,2
C13H15O7N1,C18H25O10N1,Directed,453,,1,2
C16H15O3N3,C21H25O6N3,Directed,454,,1,2
C13H19O5N3,C18H29O8N3,Directed,455,,1,2
C15H23O5N1,C20H33O8N1,Directed,456,,1,2
C14H23O4N3,C19H33O7N3,Directed,457,,1,2
C16H27O4N1,C21H37O7N1,Directed,458,,1,2
C16H14O4N2,C21H24O7N2,Directed,459,,1,2
C15H14O3N4,C20H24O6N4,Directed,460,,1,2
C12H13O8N1,C17H23O11N1,Directed,461,,1,2
C15H13O4N3,C20H23O7N3,Directed,462,,1,2
C13H17O7N1,C18H27O10N1,Directed,463,,1,2
C16H17O3N3,C21H27O6N3,Directed,464,,1,2
C17H21O2N3,C22H31O5N3,Directed,465,,1,2
C15H12O5N2,C20H22O8N2,Directed,466,,1,2
C15H16O3N4,C20H26O6N4,Directed,467,,1,2
C14H11O5N3,C19H21O8N3,Directed,468,,1,2
C16H15O5N1,C21H25O8N1,Directed,469,,1,2
C15H15O4N3,C20H25O7N3,Directed,470,,1,2
C12H19O6N3,C17H29O9N3,Directed,471,,1,2
C14H10O6N2,C19H20O9N2,Directed,472,,1,2
C12H14O9,C17H24O12,Directed,473,,1,2
C15H14O5N2,C20H24O8N2,Directed,474,,1,2
C14H14O4N4,C19H24O7N4,Directed,475,,1,2
C15H18O3N4,C20H28O6N4,Directed,476,,1,2
C15H13O6N1,C20H23O9N1,Directed,477,,1,2
C14H13O5N3,C19H23O8N3,Directed,478,,1,2
C15H17O4N3,C20H27O7N3,Directed,479,,1,2
C14H12O6N2,C19H22O9N2,Directed,480,,1,2
C15H16O5N2,C20H26O8N2,Directed,481,,1,2
